round,stadium,home_team,home_score,away_score,away_team
1.0,Moacyrzão,Flamengo,4.0,0.0,Avaí
1.0,Presidente Vargas (CE),Ceará,1.0,3.0,Vasco
1.0,Arena do Jacaré,Atlético-MG,3.0,0.0,Athletico-PR
1.0,Vila Belmiro,Santos,1.0,1.0,Internacional
1.0,Teixeirão (SP),Palmeiras,1.0,0.0,Botafogo
1.0,Olímpico,Grêmio,1.0,2.0,Corinthians
1.0,Couto Pereira,Coritiba,0.0,1.0,Atlético-GO
1.0,Orlando Scarpelli,Figueirense,1.0,0.0,Cruzeiro
1.0,São Januário,Fluminense,0.0,2.0,São Paulo
1.0,Arena do Jacaré,América-MG,2.0,1.0,Bahia
2.0,Nilton Santos (Engenhão),Botafogo,1.0,0.0,Santos
2.0,Beira-Rio,Internacional,0.0,1.0,Ceará
2.0,Ressacada,Avaí,1.0,3.0,Atlético-MG
2.0,Morumbi,São Paulo,1.0,0.0,Figueirense
2.0,Fonte Luminosa,Corinthians,2.0,1.0,Coritiba
2.0,Pituaçu,Bahia,3.0,3.0,Flamengo
2.0,Ligga Arena,Athletico-PR,0.0,1.0,Grêmio
2.0,Arena do Jacaré,Cruzeiro,1.0,1.0,Palmeiras
2.0,São Januário,Vasco,3.0,0.0,América-MG
2.0,Serra Dourada,Atlético-GO,0.0,1.0,Fluminense
3.0,Canindé,Palmeiras,1.0,0.0,Athletico-PR
3.0,Nilton Santos (Engenhão),Fluminense,2.0,1.0,Cruzeiro
3.0,Presidente Vargas (CE),Ceará,2.0,2.0,Botafogo
3.0,Orlando Scarpelli,Figueirense,2.0,0.0,Atlético-GO
3.0,Nilton Santos (Engenhão),Flamengo,1.0,1.0,Corinthians
3.0,Olímpico,Grêmio,2.0,0.0,Bahia
3.0,Couto Pereira,Coritiba,5.0,1.0,Vasco
3.0,Vila Belmiro,Santos,3.0,1.0,Avaí
3.0,Morenão (MS),América-MG,2.0,4.0,Internacional
3.0,Arena do Jacaré,Atlético-MG,0.0,1.0,São Paulo
4.0,Ressacada,Avaí,2.0,2.0,América-MG
4.0,Arena do Jacaré,Cruzeiro,1.0,1.0,Santos
4.0,Morumbi,São Paulo,3.0,1.0,Grêmio
4.0,São Januário,Vasco,1.0,1.0,Figueirense
4.0,Pituaçu,Bahia,1.0,1.0,Atlético-MG
4.0,Serra Dourada,Atlético-GO,4.0,1.0,Ceará
4.0,Beira-Rio,Internacional,2.0,2.0,Palmeiras
4.0,Pacaembu,Corinthians,2.0,0.0,Fluminense
4.0,Ligga Arena,Athletico-PR,1.0,1.0,Flamengo
4.0,Nilton Santos (Engenhão),Botafogo,3.0,1.0,Coritiba
5.0,Nilton Santos (Engenhão),Fluminense,0.0,1.0,Bahia
5.0,Arena do Jacaré,América-MG,1.0,1.0,Cruzeiro
5.0,Canindé,Palmeiras,5.0,0.0,Avaí
5.0,Nilton Santos (Engenhão),Flamengo,0.0,0.0,Botafogo
5.0,Olímpico,Grêmio,1.0,1.0,Vasco
5.0,Orlando Scarpelli,Figueirense,2.0,0.0,Athletico-PR
5.0,Presidente Vargas (PB),Ceará,0.0,2.0,São Paulo
5.0,Arena do Jacaré,Atlético-MG,2.0,2.0,Atlético-GO
5.0,Couto Pereira,Coritiba,1.0,1.0,Internacional
5.0,Vila Belmiro,Santos,0.0,0.0,Corinthians
6.0,Nilton Santos (Engenhão),Flamengo,4.0,1.0,Atlético-MG
6.0,Ligga Arena,Athletico-PR,0.0,2.0,Bahia
6.0,Arena do Jacaré,Cruzeiro,2.0,1.0,Coritiba
6.0,Pacaembu,Corinthians,5.0,0.0,São Paulo
6.0,Nilton Santos (Engenhão),Botafogo,2.0,1.0,Grêmio
6.0,Ressacada,Avaí,0.0,1.0,Fluminense
6.0,Presidente Vargas (CE),Ceará,2.0,0.0,Palmeiras
6.0,Beira-Rio,Internacional,4.0,1.0,Figueirense
6.0,Serra Dourada,Atlético-GO,0.0,1.0,Vasco
6.0,Pacaembu,Santos,1.0,0.0,América-MG
7.0,São Januário,Vasco,0.0,3.0,Cruzeiro
7.0,Olímpico,Grêmio,2.0,2.0,Avaí
7.0,Arena do Jacaré,América-MG,2.0,3.0,Flamengo
7.0,Morumbi,São Paulo,0.0,2.0,Botafogo
7.0,Orlando Scarpelli,Figueirense,2.0,1.0,Santos
7.0,Pituaçu,Bahia,0.0,1.0,Corinthians
7.0,Canindé,Palmeiras,2.0,0.0,Atlético-GO
7.0,Couto Pereira,Coritiba,3.0,1.0,Ceará
7.0,Nilton Santos (Engenhão),Fluminense,3.0,1.0,Athletico-PR
7.0,Arena do Jacaré,Atlético-MG,0.0,4.0,Internacional
8.0,Beira-Rio,Internacional,1.0,0.0,Athletico-PR
8.0,Arena do Jacaré,Cruzeiro,2.0,0.0,Grêmio
8.0,Ressacada,Avaí,2.0,2.0,Bahia
8.0,Pacaembu,Corinthians,2.0,1.0,Vasco
8.0,Presidente Vargas (CE),Ceará,3.0,0.0,Atlético-MG
8.0,Nilton Santos (Engenhão),Flamengo,1.0,0.0,São Paulo
8.0,Nilton Santos (Engenhão),Botafogo,1.0,1.0,Atlético-GO
8.0,Couto Pereira,Coritiba,3.0,0.0,Figueirense
8.0,Arena do Jacaré,América-MG,1.0,1.0,Palmeiras
8.0,Vila Belmiro,Santos,2.0,1.0,Fluminense
9.0,Morumbi,São Paulo,2.0,1.0,Cruzeiro
9.0,São Januário,Vasco,2.0,0.0,Internacional
9.0,Ligga Arena,Athletico-PR,0.0,0.0,Avaí
9.0,Nilton Santos (Engenhão),Fluminense,0.0,1.0,Flamengo
9.0,Olímpico,Grêmio,2.0,0.0,Coritiba
9.0,Serra Dourada,Atlético-GO,0.0,1.0,Corinthians
9.0,Pituaçu,Bahia,1.0,1.0,Botafogo
9.0,Pacaembu,Palmeiras,3.0,0.0,Santos
9.0,Arena do Jacaré,Atlético-MG,2.0,0.0,América-MG
9.0,Orlando Scarpelli,Figueirense,1.0,1.0,Ceará
10.0,São Januário,Vasco,2.0,1.0,Athletico-PR
10.0,Couto Pereira,Coritiba,3.0,1.0,Fluminense
10.0,Serra Dourada,Atlético-GO,0.0,1.0,Avaí
10.0,Vila Belmiro,Santos,2.0,1.0,Atlético-MG
10.0,Beira-Rio,Internacional,0.0,3.0,São Paulo
10.0,Presidente Vargas (CE),Ceará,4.0,0.0,América-MG
10.0,Arena do Jacaré,Cruzeiro,2.0,1.0,Bahia
10.0,Pacaembu,Palmeiras,0.0,0.0,Flamengo
10.0,São Januário,Botafogo,0.0,2.0,Corinthians
10.0,Orlando Scarpelli,Figueirense,0.0,0.0,Grêmio
11.0,Ressacada,Avaí,1.0,3.0,Internacional
11.0,Morumbi,São Paulo,2.0,2.0,Atlético-GO
11.0,Ligga Arena,Athletico-PR,2.0,1.0,Botafogo
11.0,Arena do Jacaré,América-MG,0.0,0.0,Figueirense
11.0,Moacyrzão,Flamengo,1.0,1.0,Ceará
11.0,Pacaembu,Corinthians,0.0,1.0,Cruzeiro
11.0,Raulino de Oliveira,Fluminense,1.0,0.0,Palmeiras
11.0,Ipatingão,Atlético-MG,1.0,2.0,Vasco
11.0,Pituaçu,Bahia,0.0,0.0,Coritiba
11.0,Olímpico,Grêmio,1.0,0.0,Santos
12.0,Pacaembu,Corinthians,1.0,0.0,Internacional
12.0,Nilton Santos (Engenhão),Botafogo,2.0,1.0,Avaí
12.0,Olímpico,Grêmio,1.0,1.0,América-MG
12.0,Ipatingão,Atlético-MG,1.0,0.0,Fluminense
12.0,Serra Dourada,Atlético-GO,2.0,0.0,Cruzeiro
